keys,en,id,jp
Text/1f/text,seem tough aren't you,kamu terlihat kuat,君は強そうだ
Text/20/text,what do you want?,apa yang kamu inginkan,何がしたいですか。
Text/21/text,what's your name,siapa namamu,あなたの名前は何?
Text/22/text,my name is of no intereset on you. I am who I am,namaku tidak penting kau ketahui. Aku hanyalah aku.,わたしの名前はあなたにとって重要ではない。私は私です
Text/23/text,"Listen here, just help me get outta here, then we're chillin","dengar, keluarkan saja aku dari sini, setelah itu kita berdamai",いいかい、俺をここから出してくれ、その後、俺たちは和解する
Text/24/text,"So you want my help, nah? Just tell me your name, and I'll tell you what you gotta do next","jadi kamu ingin bantuanku atau tidak? kamu hanya perlu sebutkan namamu, setelah itu aku akan ku beri tahu apa yang harus kamu lakukan selanjutnya",だから、あなたは私の助けが欲しいのですね?君の名前を言えれば、次に何をすべきか教えてあげる
Text/25/text,FINE! My name is,BAIKLAH! Namaku ,まぁ！私の名前は
Text/26/text,"Alright [wave][color=cyan][i][b]{playerName}[/b][/i][/color][/wave]. I need food, find me some food and give it to me","baiklah [wave][color=cyan][i][b]{playerName}[/b][/i][/color][/wave]. Aku butuh makanan, carikanlah aku sesuatu untuk dimakan",さあそれでは [wave][color=cyan][i][b]{playerName}[/b][/i][/color][/wave]. 食べ物が必要だ、食べ物を見つけてくれ
Text/27/text,Does this nowhere island look like it has some food for you,apa kamu pikir pulau kosong seperti ini terlihat ada makanan untukmu?,このどこにもいない島は、あなたのために食べ物を持っているように見えますか?
Text/28/text,Not very wise [wave][color=cyan][i][b]{playerName}[/b][/i][/color][/wave]. Can't you see??!. I am the owner of this alternative reality world. I can do whatever i want here,Jawaban yang kurang bijak [wave][color=cyan][i][b]{playerName}[/b][/i][/color][/wave]. Tidak kah kamu menyadarinya??!. Akulah pemilik dari dunia lain ini. aku bisa melakukan apapun yang ku inginkan disini.,あまり賢くない [wave][color=cyan][i][b]{playerName}[/b][/i][/color][/wave]. 見えませんか??!.私はこの代替現実世界の所有者です。私はここで私が望むことを何でもすることができます
Text/29/text,Then why are you not giving food to yourself,kalau begitu kenapa kamu tidak keluarkan makanan untuk kamu sendiri,それなら、なぜあなたは自分に食べ物を与えないのか?
Text/2a/text,"You think yourself smart. I told you, ME WORLD ME RULE","kamu pikir dirimu cukup pintar?. Sudah ku katakan kepadamu, DUNIAKU ATURANKU!","あなたは自分を賢いと思っています。言ったでしょう, 私の世界、私の規制"
Text/2b/text,"So you better get yourself some energy, AND DO WHAT I WANT!","Sekarang lebih baik kamu hemat tenagamu, DAN LAKUKAN APA YANG AKU KATAKAN!",今、あなたはあなたのエネルギーを節約したほうがいいです、そして私の言うとおりにしなさい!
Text/2c/text,"(this guy is mad, I better find all of them foods)","(orang ini sudah gila, lebih baik sekarang aku cari sesuatu untuk dimakan)",(この男は怒っている、私はそれらのすべての食べ物を見つけたほうがいい)
